Ananas, 0
Bananas, 0
Eggplant, 2
Chicken, 0
Potato, 0
Beef, 1
Apple, 0
Lemon, 1
Tomato, 0
Peach, 0
Fish, 0
Fries, 0
Lettuce, 0
Orange, 0
Bell pepper, 0
Beetroot, 0
Carrot, 0
Watermelon, 1
Cantaloupe, 0
APPLE iPhone 14 Pro Max 6GB/1TB Black, 0
APPLE iPhone 14 Pro 6GB/1TB Gold, 0
SAMSUNG Galaxy Z Fold4 12/256GB Green, 0
SAMSUNG Galaxy S23 Ultra 12GB/1TB Phantom Black, 0
HUAWEI Mate 50 Pro 8/512GB Orange, 0
Chandon Brut Sparkling, 0
Once & Future Mataro, 2
Heineken Silver Lager, 0
Budweiser, 0
Michelbob Ultra, 0
Jim Beam Peach Bourbon Whiskey, 0
Bulleit Bourbon, 0
Clorox Bleach-Free Disinfecting and Cleaning Wipes, 2
Finish Pacs and Gel Dishwasher Detergents, 0
Comet Cleaner with Bleach 21oz, 1
O-Cedar Microfiber Cloth Wet Mop, 0
JOYMOOP Mop and Bucket with Wringer Set, 0
CLINIQUE DAILY HYDRATION, 0
ADVANCED NIGHT REPAIR EYE, 0
KITTY LIKES TO SCRATCH MINI EYE SHADOW PALETTE, 2
Sephora All Day Makeup Setting Spray, 0
ASOS DESIGN dress, 0
ASOS Topman micro swim in black, 0
adidas Running Run Falcon 3.0 trainers in black, 0
ASOS DESIGN skinny tuxedo in black, 0
